Year,Area Name,All ages,Not Stated,0 up to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 and over
1994,Argyll and Bute,"1,033",1,57,211,344,273,126,21
1994,City of Edinburgh,"5,291",3,297,842,"1,690","1,766",608,85
1994,Clackmannanshire,608,0,52,135,207,149,60,5
1994,Dumfries and Galloway,"1,748",7,142,394,613,450,121,21
1994,Dundee City,"1,744",1,206,445,575,385,118,14
1994,East Ayrshire,"1,470",1,122,354,528,327,123,15
1994,East Dunbartonshire,"1,227",0,40,126,402,487,152,20
1994,East Lothian,"1,050",1,58,175,384,304,113,15
1994,East Renfrewshire,"1,068",0,28,100,317,436,169,18
1994,Falkirk,"1,747",0,142,366,661,447,120,11
1994,Fife,"4,110",9,316,919,"1,559",987,284,36
1994,Glasgow City,"7,868",5,697,"1,842","2,611","1,974",644,95
1994,Highland,"2,483",6,158,545,888,631,217,38
1994,Inverclyde,"1,093",0,88,239,377,279,97,13
1994,Midlothian,984,1,53,194,385,260,79,12
1994,Moray,"1,136",0,72,264,425,277,77,21
1994,Na h Eileanan Siar,300,1,10,62,111,73,38,5
1994,North Ayrshire,"1,685",1,139,379,647,393,112,14
1994,North Lanarkshire,"4,057",0,343,930,"1,500",975,263,46
1994,Orkney Islands,249,0,12,51,91,63,27,5
1994,Perth and Kinross,"1,413",1,67,276,497,410,142,20
1994,Renfrewshire,"2,066",2,145,409,713,592,188,17
1994,Scottish Borders,"1,147",2,68,234,409,316,99,19
1994,Shetland Islands,314,1,18,63,123,85,20,4
1994,South Ayrshire,"1,144",2,72,226,392,323,117,12
1994,South Lanarkshire,"3,717",3,235,640,"1,395","1,060",338,46
1994,Stirling,855,0,57,155,289,259,87,8
1994,West Dunbartonshire,"1,265",0,111,275,464,300,97,18
1994,West Lothian,"2,016",0,121,421,777,530,151,16
1995,Scotland,"60,051",24,"4,280","11,913","20,395","16,803","5,799",837
1995,Aberdeen City,"2,363",0,155,452,745,722,254,35
1995,Aberdeenshire,"2,697",1,113,432,"1,021",831,259,40
1995,Angus,"1,256",0,93,275,444,332,103,9
1995,Argyll and Bute,"1,011",1,54,198,345,281,108,24
1995,City of Edinburgh,"5,061",2,268,794,"1,514","1,743",662,78
1995,Clackmannanshire,637,0,51,153,220,158,43,12
1995,Dumfries and Galloway,"1,636",6,110,354,590,416,138,22
1995,Dundee City,"1,744",0,205,433,519,429,137,21
1995,East Ayrshire,"1,468",0,130,362,534,334,95,13
1995,East Dunbartonshire,"1,252",0,32,121,381,501,194,23
1995,East Lothian,"1,088",1,46,189,370,342,124,16
1995,East Renfrewshire,"1,004",0,27,104,307,396,146,24
1995,Falkirk,"1,633",1,111,358,585,431,132,15
1995,Fife,"4,033",0,300,853,"1,464","1,020",335,61
1995,Glasgow City,"7,785",3,734,"1,767","2,488","1,968",724,101
1995,Highland,"2,412",1,145,487,794,701,241,43
1995,Inverclyde,"1,086",0,98,212,370,281,109,16
1995,Midlothian,939,2,68,174,350,263,70,12
1995,Moray,"1,076",0,60,277,378,261,83,17
1995,Na h Eileanan Siar,302,0,15,60,92,82,43,10
1995,North Ayrshire,"1,628",0,130,370,552,412,146,18
1995,North Lanarkshire,"4,032",0,341,898,"1,438",990,331,34
1995,Orkney Islands,231,1,19,60,87,48,15,1
1995,Perth and Kinross,"1,374",2,82,258,472,415,123,22
1995,Renfrewshire,"2,104",0,167,365,721,616,214,21
1995,Scottish Borders,"1,172",0,72,230,397,330,113,30
1995,Shetland Islands,291,1,15,58,104,82,25,6
1995,South Ayrshire,"1,080",0,103,186,376,294,106,15
1995,South Lanarkshire,"3,507",0,244,605,"1,247","1,019",346,46
1995,Stirling,913,0,52,154,297,288,108,14
1995,West Dunbartonshire,"1,171",0,105,225,421,299,105,16
1995,West Lothian,"2,065",2,135,449,772,518,167,22
1996,Scotland,"59,296",128,"4,544","11,026","19,511","17,038","6,126",923
1996,Aberdeen City,"2,402",1,172,448,768,720,255,38
1996,Aberdeenshire,"2,627",13,119,444,961,776,276,38
1996,Angus,"1,219",1,95,262,416,323,101,21
1996,Argyll and Bute,955,11,69,172,302,262,120,19
1996,City of Edinburgh,"5,130",7,310,731,"1,482","1,770",710,120
1996,Clackmannanshire,598,0,50,131,223,142,47,5
1996,Dumfries and Galloway,"1,610",1,116,361,534,422,159,17
1996,Dundee City,"1,728",3,205,420,539,396,143,22
1996,East Ayrshire,"1,395",1,144,285,492,349,116,8
1996,East Dunbartonshire,"1,167",0,59,107,368,436,177,20
1996,East Lothian,"1,086",2,57,181,371,346,116,13
1996,East Renfrewshire,"1,010",1,46,90,303,395,144,31
1996,Falkirk,"1,677",2,122,328,603,472,132,18
1996,Fife,"3,830",13,336,790,"1,288",990,356,57
1996,Glasgow City,"7,696",5,747,"1,572","2,387","2,043",795,147
1996,Highland,"2,377",24,164,462,744,680,272,31
1996,Inverclyde,"1,016",1,113,179,340,266,104,13
1996,Midlothian,899,0,67,169,325,248,78,12
1996,Moray,"1,021",3,75,218,365,270,77,13
1996,Na h Eileanan Siar,281,4,15,47,86,86,34,9
1996,North Ayrshire,"1,581",2,138,349,538,398,129,27
1996,North Lanarkshire,"4,092",4,370,906,"1,367","1,068",333,44
1996,Orkney Islands,214,2,11,34,77,57,27,6
1996,Perth and Kinross,"1,386",4,81,198,475,434,172,22
1996,Renfrewshire,"2,122",0,157,382,670,661,217,35
1996,Scottish Borders,"1,132",5,52,175,399,350,129,22
1996,Shetland Islands,269,0,9,66,80,75,32,7
1996,South Ayrshire,"1,159",2,105,211,360,336,125,20
1996,South Lanarkshire,"3,534",13,231,585,"1,213","1,080",368,44
1996,Stirling,914,1,43,142,279,304,126,19
1996,West Dunbartonshire,"1,198",2,112,228,425,320,98,13
1996,West Lothian,"1,971",0,154,353,731,563,158,12
1997,Scotland,"59,440",66,"4,835","10,607","18,782","17,455","6,740",955
1997,Aberdeen City,"2,366",0,187,394,779,688,269,49
1997,Aberdeenshire,"2,594",1,133,412,872,836,306,34
1997,Angus,"1,236",3,102,226,445,310,133,17
1997,Argyll and Bute,948,5,51,182,307,270,114,19
1997,City of Edinburgh,"5,110",1,337,694,"1,391","1,824",750,113
1997,Clackmannanshire,570,0,49,125,189,146,57,4
1997,Dumfries and Galloway,"1,568",3,142,296,525,419,158,25
1997,Dundee City,"1,732",0,212,420,508,407,169,16
1997,East Ayrshire,"1,381",1,142,300,437,372,112,17
1997,East Dunbartonshire,"1,169",0,45,85,338,485,190,26
1997,East Lothian,"1,085",0,74,193,345,312,133,28
1997,East Renfrewshire,"1,039",1,40,91,278,419,178,32
1997,Falkirk,"1,639",1,140,333,536,464,149,16
1997,Fife,"3,824",7,365,756,"1,271",998,373,54
1997,Glasgow City,"7,609",2,756,"1,513","2,330","2,042",837,129
1997,Highland,"2,443",10,182,440,740,706,312,53
1997,Inverclyde,980,0,102,184,285,283,118,8
1997,Midlothian,942,0,69,160,346,261,92,14
1997,Moray,"1,084",2,65,218,437,268,77,17
1997,Na h Eileanan Siar,252,2,15,38,69,77,44,7
1997,North Ayrshire,"1,636",1,162,336,544,428,145,20
1997,North Lanarkshire,"4,090",3,388,814,"1,326","1,128",378,53
1997,Orkney Islands,224,1,11,47,74,59,23,9
1997,Perth and Kinross,"1,436",5,88,231,447,444,199,22
1997,Renfrewshire,"2,194",0,161,354,681,713,247,38
1997,Scottish Borders,"1,132",2,69,171,368,359,144,19
1997,Shetland Islands,286,0,16,38,110,85,34,3
1997,South Ayrshire,"1,150",1,121,184,344,351,134,15
1997,South Lanarkshire,"3,560",8,264,604,"1,127","1,093",418,46
1997,Stirling,969,1,62,159,279,303,148,17
